state,y,population
Alabama,2010,4785514
Alaska,2010,713982
Arizona,2010,6407342
Arkansas,2010,2921998
California,2010,37319550
Colorado,2010,5047539
Connecticut,2010,3579173
Delaware,2010,899647
District of Columbia,2010,605282
Florida,2010,18846143
Georgia,2010,9712209
Hawaii,2010,1364004
Idaho,2010,1570819
Illinois,2010,12840545
Indiana,2010,6490555
Iowa,2010,3050819
Kansas,2010,2858266
Kentucky,2010,4348464
Louisiana,2010,4544635
Maine,2010,1327651
Maryland,2010,5788784
Massachusetts,2010,6566440
Michigan,2010,9877597
Minnesota,2010,5310934
Mississippi,2010,2970615
Missouri,2010,5996089
Montana,2010,990730
Nebraska,2010,1829591
Nevada,2010,2702483
New Hampshire,2010,1316807
New Jersey,2010,8799451
New Mexico,2010,2064614
New York,2010,19399956
North Carolina,2010,9574586
North Dakota,2010,674752
Ohio,2010,11539449
Oklahoma,2010,3760014
Oregon,2010,3837614
Pennsylvania,2010,12711406
Rhode Island,2010,1053994
South Carolina,2010,4635846
South Dakota,2010,816193
Tennessee,2010,6355518
Texas,2010,25241897
Utah,2010,2775413
Vermont,2010,625886
Virginia,2010,8024004
Washington,2010,6743009
West Virginia,2010,1854265
Wisconsin,2010,5690538
Wyoming,2010,564531
Alabama,2011,4799642
Alaska,2011,722349
Arizona,2011,6473416
Arkansas,2011,2941038
California,2011,37636311
Colorado,2011,5121900
Connecticut,2011,3588632
Delaware,2011,907590
District of Columbia,2011,620290
Florida,2011,19055607
Georgia,2011,9803630
Hawaii,2011,1379562
Idaho,2011,1584272
Illinois,2011,12867783
Indiana,2011,6517250
Iowa,2011,3066772
Kansas,2011,2869677
Kentucky,2011,4370817
Louisiana,2011,4576244
Maine,2011,1328473
Maryland,2011,5840241
Massachusetts,2011,6614218
Michigan,2011,9883053
Minnesota,2011,5346620
Mississippi,2011,2979147
Missouri,2011,6011182
Montana,2011,997518
Nebraska,2011,1840914
Nevada,2011,2713114
New Hampshire,2011,1320444
New Jersey,2011,8828552
New Mexico,2011,2080707
New York,2011,19499921
North Carolina,2011,9658913
North Dakota,2011,685526
Ohio,2011,11545735
Oklahoma,2011,3788824
Oregon,2011,3872672
Pennsylvania,2011,12747052
Rhode Island,2011,1053829
South Carolina,2011,4672655
South Dakota,2011,823740
Tennessee,2011,6400298
Texas,2011,25645504
Utah,2011,2814797
Vermont,2011,627197
Virginia,2011,8102437
Washington,2011,6827479
West Virginia,2011,1856606
Wisconsin,2011,5705840
Wyoming,2011,567491
Alabama,2012,4816632
Alaska,2012,730810
Arizona,2012,6556344
Arkansas,2012,2952876
California,2012,37944551
Colorado,2012,5193660
Connecticut,2012,3595211
Delaware,2012,915518
District of Columbia,2012,635737
Florida,2012,19302016
Georgia,2012,9903580
Hawaii,2012,1395199
Idaho,2012,1595910
Illinois,2012,12883029
Indiana,2012,6538989
Iowa,2012,3076844
Kansas,2012,2886024
Kentucky,2012,4387865
Louisiana,2012,4602067
Maine,2012,1328094
Maryland,2012,5888375
Massachusetts,2012,6664269
Michigan,2012,9898289
Minnesota,2012,5377500
Mississippi,2012,2984599
Missouri,2012,6026027
Montana,2012,1004168
Nebraska,2012,1853691
Nevada,2012,2744670
New Hampshire,2012,1324677
New Jersey,2012,8845671
New Mexico,2012,2087715
New York,2012,19574362
North Carolina,2012,9751810
North Dakota,2012,702227
Ohio,2012,11550971
Oklahoma,2012,3819320
Oregon,2012,3900102
Pennsylvania,2012,12769123
Rhode Island,2012,1054893
South Carolina,2012,4719027
South Dakota,2012,833859
Tennessee,2012,6455752
Texas,2012,26084120
Utah,2012,2854146
Vermont,2012,626361
Virginia,2012,8187456
Washington,2012,6898599
West Virginia,2012,1857446
Wisconsin,2012,5720825
Wyoming,2012,576656
Alabama,2013,4831586
Alaska,2013,737626
Arizona,2013,6634690
Arkansas,2013,2960459
California,2013,38253768
Colorado,2013,5270774
Connecticut,2013,3595792
Delaware,2013,924062
District of Columbia,2013,651559
Florida,2013,19551678
Georgia,2013,9975592
Hawaii,2013,1408822
Idaho,2013,1612053
Illinois,2013,12895778
Indiana,2013,6570575
Iowa,2013,3093935
Kansas,2013,2894306
Kentucky,2013,4406906
Louisiana,2013,4626040
Maine,2013,1328543
Maryland,2013,5925197
Massachusetts,2013,6715158
Michigan,2013,9914802
Minnesota,2013,5414722
Mississippi,2013,2989839
Missouri,2013,6042989
Montana,2013,1014158
Nebraska,2013,1865813
Nevada,2013,2776956
New Hampshire,2013,1327272
New Jersey,2013,8857821
New Mexico,2013,2092833
New York,2013,19626488
North Carolina,2013,9846717
North Dakota,2013,723149
Ohio,2013,11579692
Oklahoma,2013,3853891
Oregon,2013,3924110
Pennsylvania,2013,12779538
Rhode Island,2013,1055560
South Carolina,2013,4766469
South Dakota,2013,842751
Tennessee,2013,6496943
Texas,2013,26479646
Utah,2013,2898773
Vermont,2013,626603
Virginia,2013,8255861
Washington,2013,6966252
West Virginia,2013,1854768
Wisconsin,2013,5738012
Wyoming,2013,582620
Alabama,2014,4843737
Alaska,2014,737075
Arizona,2014,6732873
Arkansas,2014,2968759
California,2014,38586706
Colorado,2014,5352637
Connecticut,2014,3595697
Delaware,2014,933131
District of Columbia,2014,663603
Florida,2014,19853880
Georgia,2014,10071204
Hawaii,2014,1415335
Idaho,2014,1632248
Illinois,2014,12885092
Indiana,2014,6596019
Iowa,2014,3110643
Kansas,2014,2901861
Kentucky,2014,4416992
Louisiana,2014,4645938
Maine,2014,1331217
Maryland,2014,5960064
Massachusetts,2014,6764864
Michigan,2014,9932033
Minnesota,2014,5452665
Mississippi,2014,2991892
Missouri,2014,6059130
Montana,2014,1022657
Nebraska,2014,1879955
Nevada,2014,2818935
New Hampshire,2014,1334257
New Jersey,2014,8867277
New Mexico,2014,2090236
New York,2014,19653431
North Carolina,2014,9937295
North Dakota,2014,738736
Ohio,2014,11606573
Oklahoma,2014,3879187
Oregon,2014,3965447
Pennsylvania,2014,12792392
Rhode Island,2014,1056511
South Carolina,2014,4826858
South Dakota,2014,849670
Tennessee,2014,6544617
Texas,2014,26963092
Utah,2014,2938327
Vermont,2014,625693
Virginia,2014,8315430
Washington,2014,7057531
West Virginia,2014,1850569
Wisconsin,2014,5753199
Wyoming,2014,583159
Alabama,2015,4854803
Alaska,2015,738430
Arizona,2015,6832810
Arkansas,2015,2979732
California,2015,38904296
Colorado,2015,5454328
Connecticut,2015,3588561
Delaware,2015,942065
District of Columbia,2015,677014
Florida,2015,20219111
Georgia,2015,10183353
Hawaii,2015,1422999
Idaho,2015,1652495
Illinois,2015,12859585
Indiana,2015,6611442
Iowa,2015,3122541
Kansas,2015,2910717
Kentucky,2015,4429126
Louisiana,2015,4666998
Maine,2015,1329098
Maryland,2015,5988528
Massachusetts,2015,6797484
Michigan,2015,9934483
Minnesota,2015,5484002
Mississippi,2015,2990231
Missouri,2015,6075411
Montana,2015,1031495
Nebraska,2015,1892059
Nevada,2015,2868531
New Hampshire,2015,1337480
New Jersey,2015,8870312
New Mexico,2015,2090071
New York,2015,19657321
North Carolina,2015,10037218
North Dakota,2015,755537
Ohio,2015,11622315
Oklahoma,2015,3910518
Oregon,2015,4018542
Pennsylvania,2015,12789838
Rhode Island,2015,1056886
South Carolina,2015,4896006
South Dakota,2015,854663
Tennessee,2015,6595354
Texas,2015,27468531
Utah,2015,2983626
Vermont,2015,625810
Virginia,2015,8367303
Washington,2015,7167287
West Virginia,2015,1843332
Wisconsin,2015,5762927
Wyoming,2015,586389
Alabama,2016,4866824
Alaska,2016,742575
Arizona,2016,6944767
Arkansas,2016,2991815
California,2016,39149186
Colorado,2016,5543844
Connecticut,2016,3579830
Delaware,2016,949989
District of Columbia,2016,687576
Florida,2016,20627237
Georgia,2016,10308442
Hawaii,2016,1428885
Idaho,2016,1684036
Illinois,2016,12821709
Indiana,2016,6637898
Iowa,2016,3133210
Kansas,2016,2912977
Kentucky,2016,4440306
Louisiana,2016,4681346
Maine,2016,1332348
Maryland,2016,6007014
Massachusetts,2016,6827280
Michigan,2016,9954117
Minnesota,2016,5525360
Mississippi,2016,2990595
Missouri,2016,6091384
Montana,2016,1042137
Nebraska,2016,1906483
Nevada,2016,2919555
New Hampshire,2016,1343694
New Jersey,2016,8873584
New Mexico,2016,2092555
New York,2016,19636391
North Carolina,2016,10161802
North Dakota,2016,756114
Ohio,2016,11640060
Oklahoma,2016,3928143
Oregon,2016,4093271
Pennsylvania,2016,12788468
Rhode Island,2016,1057816
South Carolina,2016,4963031
South Dakota,2016,863693
Tennessee,2016,6651277
Texas,2016,27914064
Utah,2016,3044241
Vermont,2016,624366
Virginia,2016,8417651
Washington,2016,7299961
West Virginia,2016,1832435
Wisconsin,2016,5775170
Wyoming,2016,585243
Alabama,2017,4877989
Alaska,2017,740983
Arizona,2017,7048088
Arkansas,2017,3003855
California,2017,39337785
Colorado,2017,5617421
Connecticut,2017,3575324
Delaware,2017,957942
District of Columbia,2017,697079
Florida,2017,20977089
Georgia,2017,10417031
Hawaii,2017,1425763
Idaho,2017,1719745
Illinois,2017,12779893
Indiana,2017,6662068
Iowa,2017,3143734
Kansas,2017,2910892
Kentucky,2017,4455590
Louisiana,2017,4673673
Maine,2017,1335743
Maryland,2017,6028186
Massachusetts,2017,6863560
Michigan,2017,9976752
Minnesota,2017,5569283
Mississippi,2017,2990674
Missouri,2017,6111382
Montana,2017,1053862
Nebraska,2017,1916998
Nevada,2017,2972097
New Hampshire,2017,1350395
New Jersey,2017,8888147
New Mexico,2017,2092844
New York,2017,19593849
North Carolina,2017,10275758
North Dakota,2017,756755
Ohio,2017,11665706
Oklahoma,2017,3933602
Oregon,2017,4147294
Pennsylvania,2017,12794679
Rhode Island,2017,1056554
South Carolina,2017,5027102
South Dakota,2017,873732
Tennessee,2017,6714748
Texas,2017,28291024
Utah,2017,3103540
Vermont,2017,625132
Virginia,2017,8471011
Washington,2017,7427951
West Virginia,2017,1818683
Wisconsin,2017,5793147
Wyoming,2017,579994
Alabama,2018,4891628
Alaska,2018,736624
Arizona,2018,7164228
Arkansas,2018,3012161
California,2018,39437463
Colorado,2018,5697155
Connecticut,2018,3574561
Delaware,2018,966985
District of Columbia,2018,704147
Florida,2018,21254926
Georgia,2018,10519389
Hawaii,2018,1423102
Idaho,2018,1752074
Illinois,2018,12724685
Indiana,2018,6698481
Iowa,2018,3149900
Kansas,2018,2912748
Kentucky,2018,4464273
Louisiana,2018,4664450
Maine,2018,1340123
Maryland,2018,6042153
Massachusetts,2018,6885720
Michigan,2018,9987286
Minnesota,2018,5608762
Mississippi,2018,2982879
Missouri,2018,6125986
Montana,2018,1061818
Nebraska,2018,1925512
Nevada,2018,3030725
New Hampshire,2018,1355064
New Jersey,2018,8891730
New Mexico,2018,2093754
New York,2018,19544098
North Carolina,2018,10391358
North Dakota,2018,760062
Ohio,2018,11680892
Oklahoma,2018,3943488
Oregon,2018,4183538
Pennsylvania,2018,12809107
Rhode Island,2018,1059338
South Carolina,2018,5091702
South Dakota,2018,879386
Tennessee,2018,6778180
Texas,2018,28624564
Utah,2018,3155153
Vermont,2018,624802
Virginia,2018,8510920
Washington,2018,7526793
West Virginia,2018,1805953
Wisconsin,2018,5809319
Wyoming,2018,579054
Alabama,2019,4907965
Alaska,2019,733603
Arizona,2019,7291843
Arkansas,2019,3020985
California,2019,39437610
Colorado,2019,5758486
Connecticut,2019,3566022
Delaware,2019,976668
District of Columbia,2019,708253
Florida,2019,21492056
Georgia,2019,10628020
Hawaii,2019,1415615
Idaho,2019,1789060
Illinois,2019,12667017
Indiana,2019,6731010
Iowa,2019,3159596
Kansas,2019,2912635
Kentucky,2019,4472345
Louisiana,2019,4658285
Maine,2019,1345770
Maryland,2019,6054954
Massachusetts,2019,6894883
Michigan,2019,9984795
Minnesota,2019,5640053
Mississippi,2019,2978227
Missouri,2019,6140475
Montana,2019,1070123
Nebraska,2019,1932571
Nevada,2019,3090771
New Hampshire,2019,1360783
New Jersey,2019,8891258
New Mexico,2019,2099634
New York,2019,19463131
North Carolina,2019,10501384
North Dakota,2019,763724
Ohio,2019,11696507
Oklahoma,2019,3960676
Oregon,2019,4216116
Pennsylvania,2019,12798883
Rhode Island,2019,1058158
South Carolina,2019,5157702
South Dakota,2019,887127
Tennessee,2019,6830325
Texas,2019,28986794
Utah,2019,3203383
Vermont,2019,624046
Virginia,2019,8556642
Washington,2019,7614024
West Virginia,2019,1795263
Wisconsin,2019,5824581
Wyoming,2019,580116
Alabama,2020,4924302
Alaska,2020,730582
Arizona,2020,7419458
Arkansas,2020,3029809
California,2020,39437757
Colorado,2020,5819817
Connecticut,2020,3557483
Delaware,2020,986351
District of Columbia,2020,712359
Florida,2020,21729186
Georgia,2020,10736651
Hawaii,2020,1408128
Idaho,2020,1826046
Illinois,2020,12609349
Indiana,2020,6763539
Iowa,2020,3169292
Kansas,2020,2912522
Kentucky,2020,4480417
Louisiana,2020,4652120
Maine,2020,1351417
Maryland,2020,6067755
Massachusetts,2020,6904046
Michigan,2020,9982304
Minnesota,2020,5671344
Mississippi,2020,2973575
Missouri,2020,6154964
Montana,2020,1078428
Nebraska,2020,1939630
Nevada,2020,3150817
New Hampshire,2020,1366502
New Jersey,2020,8890786
New Mexico,2020,2105514
New York,2020,19382164
North Carolina,2020,10611410
North Dakota,2020,767386
Ohio,2020,11712122
Oklahoma,2020,3977864
Oregon,2020,4248694
Pennsylvania,2020,12788659
Rhode Island,2020,1056978
South Carolina,2020,5223702
South Dakota,2020,894868
Tennessee,2020,6882470
Texas,2020,29349024
Utah,2020,3251613
Vermont,2020,623290
Virginia,2020,8602364
Washington,2020,7701255
West Virginia,2020,1784573
Wisconsin,2020,5839843
Wyoming,2020,581178
Alabama,2021,4940639
Alaska,2021,727561
Arizona,2021,7547073
Arkansas,2021,3038633
California,2021,39437904
Colorado,2021,5881148
Connecticut,2021,3548944
Delaware,2021,996034
District of Columbia,2021,716465
Florida,2021,21966316
Georgia,2021,10845282
Hawaii,2021,1400641
Idaho,2021,1863032
Illinois,2021,12551681
Indiana,2021,6796068
Iowa,2021,3178988
Kansas,2021,2912409
Kentucky,2021,4488489
Louisiana,2021,4645955
Maine,2021,1357064
Maryland,2021,6080556
Massachusetts,2021,6913209
Michigan,2021,9979813
Minnesota,2021,5702635
Mississippi,2021,2968923
Missouri,2021,6169453
Montana,2021,1086733
Nebraska,2021,1946689
Nevada,2021,3210863
New Hampshire,2021,1372221
New Jersey,2021,8890314
New Mexico,2021,2111394
New York,2021,19301197
North Carolina,2021,10721436
North Dakota,2021,771048
Ohio,2021,11727737
Oklahoma,2021,3995052
Oregon,2021,4281272
Pennsylvania,2021,12778435
Rhode Island,2021,1055798
South Carolina,2021,5289702
South Dakota,2021,902609
Tennessee,2021,6934615
Texas,2021,29711254
Utah,2021,3299843
Vermont,2021,622534
Virginia,2021,8648086
Washington,2021,7788486
West Virginia,2021,1773883
Wisconsin,2021,5855105
Wyoming,2021,582240
Alabama,2022,4956976
Alaska,2022,724540
Arizona,2022,7674688
Arkansas,2022,3047457
California,2022,39438051
Colorado,2022,5942479
Connecticut,2022,3540405
Delaware,2022,1005717
District of Columbia,2022,720571
Florida,2022,22203446
Georgia,2022,10953913
Hawaii,2022,1393154
Idaho,2022,1900018
Illinois,2022,12494013
Indiana,2022,6828597
Iowa,2022,3188684
Kansas,2022,2912296
Kentucky,2022,4496561
Louisiana,2022,4639790
Maine,2022,1362711
Maryland,2022,6093357
Massachusetts,2022,6922372
Michigan,2022,9977322
Minnesota,2022,5733926
Mississippi,2022,2964271
Missouri,2022,6183942
Montana,2022,1095038
Nebraska,2022,1953748
Nevada,2022,3270909
New Hampshire,2022,1377940
New Jersey,2022,8889842
New Mexico,2022,2117274
New York,2022,19220230
North Carolina,2022,10831462
North Dakota,2022,774710
Ohio,2022,11743352
Oklahoma,2022,4012240
Oregon,2022,4313850
Pennsylvania,2022,12768211
Rhode Island,2022,1054618
South Carolina,2022,5355702
South Dakota,2022,910350
Tennessee,2022,6986760
Texas,2022,30073484
Utah,2022,3348073
Vermont,2022,621778
Virginia,2022,8693808
Washington,2022,7875717
West Virginia,2022,1763193
Wisconsin,2022,5870367
Wyoming,2022,583302
